Worker_ID,Name,Age,Gender,Department,Job_Title,Experience_Years,Salary,Shift,Attendance_Percent
72,Ravi Patel,56,Male,Packaging,Helper,25,39706,Night,99.8
73,Kiran Singh,55,Male,Assembly,Operator,1,26139,Evening,94.8
74,Sunil Reddy,26,Female,Production,Technician,9,34225,Evening,78.1
75,Sunil Sharma,47,Male,Maintenance,Technician,1,36197,Evening,92.7
76,,48,Male,,Technician,22,,Night,80.2
77,Priya Reddy,44,Male,Packaging,Helper,19,33494,Evening,87.8
78,Deepa Patel,29,Male,Maintenance,Helper,2,39364,Morning,89.4
79,Rahul Patel,53,Male,Packaging,Helper,14,32792,Evening,78.8
80,Asif Sharma,56,Female,Production,Technician,16,49795,Evening,97.2
81,Ravi Kumar,39,Female,Maintenance,Technician,10,55026,Morning,87.3
82,Amit Patel,39,Male,Production,Operator,15,42129,Evening,76.8
83,Ravi Sharma,44,Male,Production,Helper,19,43135,Morning,92.1
84,Ravi Singh,43,Female,Packaging,Technician,1,41952,Evening,82.8
85,Rahul Kumar,21,Female,Maintenance,Operator,12,44157,Evening,79.7
86,Sunil Patel,37,Female,Packaging,Technician,22,29874,Night,95.3
87,Amit Singh,29,Male,Packaging,Operator,4,29911,Evening,84.0
88,Suresh Sharma,26,Male,Maintenance,Helper,16,43376,Evening,83.0
89,Deepa Kumar,34,Male,Packaging,Operator,2,53265,Evening,78.7
90,Deepa Kumar,34,Female,Production,Technician,22,44199,Evening,77.4
91,Sunil Sharma,57,Male,Maintenance,Helper,16,58737,Morning,90.0
92,Sunil Kumar,40,Female,Packaging,Operator,11,20640,Evening,85.6
93,Ravi Patel,36,Female,Packaging,Operator,15,30417,Morning,93.4
94,Anita Sharma,47,Female,Packaging,Technician,17,54612,Morning,95.4
95,Asif Kumar,41,Female,Assembly,Operator,23,28547,Night,92.4
96,Ravi Kumar,41,Female,Packaging,Helper,22,25404,Morning,82.2
97,Suresh Sharma,26,Male,Packaging,Technician,6,31403,Night,79.0
98,Kiran Sharma,24,Male,Production,Technician,15,55343,Evening,80.6
99,Ravi Singh,49,Female,Assembly,Technician,19,32777,Morning,90.8
100,Asif Kumar,40,Male,Packaging,Operator,2,31883,Morning,99.3
101,Priya Sharma,34,Male,Assembly,Helper,6,32047,Evening,92.8
102,Ravi Singh,51,Male,Production,Operator,9,40485,Night,77.6
103,Suresh Kumar,32,Male,Production,Helper,25,39837,Morning,97.6
104,Asif Sharma,23,Male,Production,Operator,17,25228,Evening,89.8
105,Kiran Kumar,37,Female,Assembly,Operator,5,30255,Morning,79.9
106,Ravi Sharma,55,Male,Maintenance,Operator,20,54347,Evening,92.6
107,Kiran Patel,21,Male,Packaging,Technician,21,55216,Evening,79.2
108,Ravi Sharma,44,Male,Packaging,Helper,2,23896,Evening,79.1
109,Kiran Sharma,49,Female,Assembly,Operator,24,40868,Morning,80.4
110,Suresh Sharma,32,Female,Assembly,Helper,23,23988,Night,83.0
111,Kiran Singh,34,Female,Maintenance,Technician,4,39122,Morning,86.3
112,Suresh Sharma,58,Male,Production,Technician,10,36910,Evening,86.7
113,Priya Patel,39,Male,Production,Helper,21,23334,Night,79.8
114,Kiran Patel,38,Male,Assembly,Operator,6,52223,Evening,86.6
115,Priya Singh,22,Female,Production,Operator,2,32082,Evening,84.8
116,Asif Sharma,43,Male,Packaging,Operator,7,36422,Night,77.9
117,Anita Reddy,28,Male,Assembly,Helper,12,28253,Evening,91.9
118,Rahul Singh,26,Male,Maintenance,Technician,11,19461,Night,83.5
119,Ravi Reddy,55,Male,Production,Helper,13,50131,Evening,79.4
120,Sunil Patel,23,Male,Assembly,Technician,7,45271,Morning,99.1
121,,41,Female,,Helper,14,,Morning,79.7
122,Amit Reddy,51,Male,Packaging,Helper,18,51430,Evening,78.3
123,Anita Singh,56,Female,Packaging,Operator,17,20715,Morning,79.3
124,Ravi Patel,56,Female,Packaging,Technician,20,58351,Evening,89.4
125,Sunil Sharma,31,Male,Maintenance,Helper,10,30884,Evening,93.5
126,Asif Singh,36,Male,Assembly,Operator,19,24859,Night,95.1
127,Suresh Sharma,48,Male,Assembly,Technician,21,30705,Morning,87.6
128,Asif Singh,25,Female,Production,Technician,6,21079,Night,87.2
129,Ravi Patel,50,Male,Assembly,Helper,4,30717,Night,77.4
130,Rahul Singh,48,Male,Production,Operator,17,29443,Morning,85.5
131,Kiran Sharma,56,Male,Maintenance,Helper,20,59548,Evening,76.3
132,Amit Reddy,39,Male,Maintenance,Technician,13,26654,Night,84.9
133,Rahul Singh,24,Female,Maintenance,Operator,24,40349,Morning,97.9
134,Suresh Patel,33,Male,Production,Technician,8,27690,Night,90.5
135,Kiran Sharma,57,Female,Packaging,Operator,1,24180,Morning,77.9
136,Rahul Singh,22,Female,Packaging,Technician,20,40666,Morning,84.9
137,Ravi Singh,33,Female,Production,Operator,18,45092,Evening,81.1
138,Deepa Reddy,53,Female,Production,Helper,10,21504,Night,97.5
139,Rahul Singh,24,Female,Production,Helper,19,53040,Night,91.8
140,Anita Patel,52,Female,Assembly,Operator,17,30482,Morning,99.8
141,Sunil Kumar,39,Female,Production,Helper,21,32736,Morning,94.6
142,Asif Kumar,42,Female,Assembly,Operator,9,24066,Night,92.3
143,Rahul Reddy,51,Female,Maintenance,Technician,15,24010,Morning,91.7
144,Sunil Reddy,37,Male,Production,Helper,2,47043,Morning,90.1
145,Deepa Kumar,47,Female,Assembly,Operator,3,22976,Night,80.3
146,Priya Patel,25,Male,Assembly,Technician,21,33166,Evening,79.4
147,Ravi Patel,29,Female,Maintenance,Technician,3,54600,Morning,81.3
148,Anita Sharma,48,Male,Packaging,Operator,11,50072,Night,92.5
149,Sunil Sharma,21,Male,Production,Operator,8,49000,Evening,93.6
150,Sunil Kumar,25,Male,Maintenance,Helper,8,45679,Night,92.6
151,Deepa Singh,58,Male,Packaging,Operator,8,41988,Night,77.2
152,Asif Singh,43,Male,Assembly,Technician,18,44284,Morning,94.3
153,Sunil Kumar,32,Female,Assembly,Technician,20,37389,Morning,98.2
154,Kiran Reddy,52,Male,Packaging,Technician,19,26986,Morning,99.5
155,Suresh Sharma,52,Male,Maintenance,Technician,9,36639,Evening,84.4
156,Priya Singh,38,Male,Assembly,Technician,5,39554,Morning,91.5
157,Anita Singh,48,Male,Assembly,Operator,9,51109,Morning,89.6
158,Ravi Patel,56,Male,Production,Technician,19,47342,Evening,84.6
159,Suresh Reddy,26,Male,Maintenance,Helper,10,51274,Evening,95.9
160,Ravi Kumar,30,Male,Packaging,Operator,24,40339,Evening,96.0
161,Deepa Singh,52,Female,Production,Operator,24,45242,Night,91.3
162,Amit Kumar,35,Female,Packaging,Technician,14,40861,Morning,99.6
163,Ravi Patel,24,Female,Packaging,Helper,9,22426,Night,92.3
164,Amit Kumar,45,Female,Production,Helper,17,33493,Evening,87.5
165,Anita Reddy,51,Female,Packaging,Operator,11,44169,Morning,82.5
166,Sunil Singh,23,Female,Packaging,Helper,16,20922,Night,89.9
167,Kiran Reddy,34,Male,Maintenance,Helper,14,41834,Evening,98.6
168,Deepa Sharma,52,Male,Packaging,Helper,23,41861,Evening,83.7
169,Sunil Reddy,57,Male,Assembly,Helper,5,41042,Morning,82.3
170,Amit Sharma,33,Female,Packaging,Helper,25,25763,Morning,89.4
171,Kiran Kumar,21,Female,Assembly,Technician,22,31569,Evening,97.8
172,Suresh Reddy,20,Male,Maintenance,Operator,12,31335,Evening,97.8
173,Suresh Singh,20,Female,Assembly,Operator,6,26028,Evening,88.5
174,Anita Singh,27,Female,Production,Operator,5,40913,Night,89.1
175,Kiran Singh,33,Male,Assembly,Helper,6,31318,Morning,89.5
176,Anita Sharma,48,Male,Assembly,Operator,13,31058,Evening,75.8
177,Priya Reddy,27,Male,Assembly,Helper,21,19446,Morning,96.0
178,Deepa Patel,43,Female,Assembly,Technician,9,40101,Morning,99.1
179,Asif Singh,51,Female,Production,Operator,17,34058,Night,92.4
180,Asif Sharma,32,Female,Assembly,Technician,6,50024,Morning,77.4
181,,20,Male,,Helper,11,,Evening,86.9
182,Priya Singh,40,Male,Maintenance,Operator,24,28927,Night,81.5
183,Anita Singh,41,Female,Production,Technician,3,18814,Evening,92.1
184,Kiran Reddy,35,Female,Production,Helper,12,29153,Night,89.3
185,Sunil Patel,57,Male,Production,Helper,23,36883,Night,97.6
186,Amit Reddy,22,Male,Assembly,Operator,9,21283,Evening,90.7
187,Anita Patel,57,Male,Maintenance,Operator,4,24007,Morning,88.9
188,Amit Singh,20,Female,Production,Technician,6,54926,Night,88.6
189,Amit Kumar,30,Female,Packaging,Technician,12,30101,Evening,84.7
190,Anita Sharma,49,Female,Maintenance,Operator,25,40929,Night,98.3
191,Amit Sharma,36,Female,Packaging,Technician,25,22800,Evening,75.4
192,Sunil Singh,34,Male,Production,Technician,22,33413,Night,78.4
193,Asif Sharma,46,Female,Packaging,Operator,11,23529,Night,92.3
194,Deepa Sharma,49,Female,Assembly,Helper,21,49391,Evening,93.9
195,Suresh Reddy,45,Female,Maintenance,Operator,1,44694,Evening,91.6
196,Priya Kumar,51,Female,Assembly,Helper,1,35673,Morning,75.1
197,Anita Sharma,44,Male,Production,Technician,15,28937,Evening,89.1
198,Amit Patel,20,Male,Assembly,Technician,25,25264,Night,84.6
199,Amit Sharma,54,Male,Assembly,Helper,22,54218,Night,88.9
200,Asif Reddy,56,Female,Assembly,Helper,10,47899,Morning,79.9
201,Sunil Kumar,53,Male,Assembly,Technician,23,43420,Evening,91.0
202,Deepa Kumar,56,Female,Assembly,Operator,17,36881,Evening,87.6
203,Sunil Kumar,23,Male,Packaging,Operator,14,51592,Night,93.8
204,Anita Singh,47,Male,Production,Technician,10,50106,Evening,85.8
205,Priya Kumar,36,Male,Packaging,Operator,13,52874,Evening,88.3
206,Amit Sharma,32,Male,Packaging,Helper,19,28406,Night,82.5
207,Priya Singh,53,Female,Assembly,Technician,16,18461,Night,83.0
208,Ravi Kumar,24,Female,Production,Technician,10,49659,Night,82.5
209,Amit Sharma,52,Female,Maintenance,Operator,17,37371,Night,85.3
210,Amit Singh,45,Male,Production,Helper,25,45677,Morning,76.2
211,Suresh Patel,50,Female,Production,Helper,8,44797,Morning,78.4
212,Amit Kumar,22,Female,Production,Operator,14,43128,Morning,96.5
213,Anita Reddy,50,Male,Assembly,Operator,18,23146,Evening,83.3
214,Kiran Sharma,47,Female,Maintenance,Technician,18,34387,Night,79.5
215,Sunil Reddy,56,Male,Maintenance,Helper,10,57079,Morning,97.5
216,Priya Singh,43,Female,Packaging,Operator,1,51843,Evening,91.6
217,Sunil Patel,49,Male,Production,Technician,25,51248,Night,77.4
218,Amit Kumar,28,Male,Packaging,Operator,19,40639,Evening,83.6
219,Amit Sharma,30,Female,Production,Operator,8,36421,Night,96.1
220,Deepa Reddy,51,Male,Maintenance,Operator,11,31989,Morning,95.7
221,Rahul Kumar,57,Female,Assembly,Technician,8,40785,Night,79.8
222,Priya Patel,52,Female,Maintenance,Operator,18,53613,Night,83.6
223,Rahul Singh,53,Female,Maintenance,Helper,16,25782,Morning,92.5
224,Rahul Kumar,43,Male,Packaging,Helper,22,26991,Night,76.9
225,Deepa Singh,26,Male,Assembly,Technician,15,53764,Evening,97.1
226,Anita Singh,40,Male,Maintenance,Helper,18,32816,Morning,76.1
227,Anita Reddy,33,Male,Assembly,Technician,11,24172,Evening,91.1
228,Anita Sharma,39,Female,Maintenance,Helper,16,23347,Night,80.8
229,Priya Sharma,46,Female,Assembly,Technician,18,40459,Evening,97.0
230,Asif Singh,28,Male,Assembly,Technician,19,21522,Night,90.5
231,Rahul Patel,39,Male,Packaging,Helper,15,31588,Morning,82.8
232,Suresh Reddy,23,Male,Packaging,Technician,8,35376,Morning,92.0
233,Sunil Sharma,22,Female,Maintenance,Operator,5,18674,Night,99.4
234,Deepa Patel,37,Male,Packaging,Operator,11,40338,Morning,92.4
235,Asif Singh,23,Female,Assembly,Helper,11,18061,Morning,76.5
236,Deepa Reddy,47,Male,Maintenance,Technician,1,44837,Evening,81.0
237,Asif Patel,46,Female,Assembly,Helper,23,38529,Evening,99.0
238,Sunil Patel,56,Female,Production,Technician,9,53796,Evening,91.3
239,Asif Reddy,31,Male,Maintenance,Technician,21,30737,Evening,96.3
240,Priya Singh,31,Male,Packaging,Helper,8,41150,Evening,80.2
241,,20,Female,,Technician,20,,Night,97.2
242,Ravi Sharma,51,Male,Production,Technician,18,46285,Night,96.2
243,Anita Singh,57,Male,Packaging,Helper,8,56724,Morning,85.0
244,Kiran Kumar,48,Male,Production,Technician,9,22884,Evening,92.6
245,Suresh Patel,25,Male,Production,Technician,13,41516,Night,99.3
246,Sunil Sharma,42,Female,Production,Helper,9,25367,Morning,95.3
247,Priya Sharma,48,Female,Production,Helper,18,26749,Night,93.0
248,Suresh Reddy,51,Male,Maintenance,Technician,6,48984,Morning,77.5
249,Ravi Sharma,20,Female,Assembly,Helper,7,39261,Evening,89.4
250,Deepa Patel,21,Female,Maintenance,Operator,23,39528,Evening,97.7
251,Anita Kumar,54,Male,Production,Helper,24,49934,Evening,92.6
252,Sunil Reddy,40,Female,Maintenance,Technician,11,23081,Morning,96.7
253,Priya Sharma,38,Female,Assembly,Helper,17,52504,Evening,80.6
254,Suresh Patel,27,Female,Production,Operator,17,30686,Morning,83.3
255,Asif Reddy,52,Male,Packaging,Operator,4,22156,Evening,77.2
256,Asif Sharma,25,Male,Packaging,Operator,23,58585,Morning,84.8
257,Rahul Kumar,48,Male,Assembly,Technician,9,54161,Night,92.2
258,Priya Patel,42,Male,Production,Helper,2,53404,Morning,81.5
259,Suresh Sharma,56,Male,Assembly,Technician,18,59496,Night,85.4
260,Rahul Sharma,46,Female,Packaging,Operator,21,45596,Evening,93.3
261,Asif Reddy,33,Male,Maintenance,Operator,6,43044,Night,81.6
262,Sunil Kumar,34,Female,Packaging,Helper,13,31215,Evening,76.0
263,Rahul Patel,41,Male,Packaging,Operator,3,48089,Night,86.2
264,Deepa Reddy,53,Female,Assembly,Helper,6,41125,Night,85.5
265,Asif Singh,35,Male,Packaging,Operator,1,59421,Evening,97.7
266,Sunil Patel,47,Female,Production,Helper,23,27312,Morning,92.9
267,Asif Kumar,29,Female,Packaging,Helper,1,46561,Morning,94.7
268,Asif Patel,22,Male,Maintenance,Operator,12,51589,Evening,81.7
269,Rahul Reddy,45,Female,Maintenance,Technician,14,47322,Night,84.6
270,Anita Patel,20,Female,Maintenance,Technician,23,39269,Evening,84.8
271,Asif Patel,35,Female,Packaging,Operator,16,45924,Morning,85.4
272,Rahul Sharma,30,Male,Assembly,Technician,21,36975,Evening,98.2
273,Sunil Sharma,46,Male,Packaging,Operator,18,43067,Morning,87.9
274,Priya Sharma,26,Female,Production,Operator,10,33019,Night,81.3
275,Priya Reddy,37,Female,Production,Helper,10,37767,Evening,92.2
276,Sunil Reddy,33,Male,Packaging,Helper,22,53964,Morning,78.1
277,Deepa Singh,40,Male,Production,Helper,14,25972,Night,77.9
278,Rahul Sharma,20,Female,Packaging,Technician,15,45314,Evening,91.2
279,Rahul Sharma,48,Male,Assembly,Operator,6,51389,Morning,81.0
280,Kiran Kumar,44,Female,Assembly,Technician,25,59907,Morning,94.8
281,Rahul Patel,58,Female,Maintenance,Operator,12,24134,Morning,90.5
282,Anita Patel,33,Female,Maintenance,Operator,17,20666,Night,95.9
283,Anita Kumar,55,Male,Maintenance,Helper,9,36298,Evening,81.0
284,Anita Kumar,48,Male,Maintenance,Operator,10,23107,Night,95.6
285,Amit Kumar,35,Male,Assembly,Operator,12,37915,Morning,79.5
286,Ravi Sharma,31,Female,Maintenance,Technician,17,57568,Evening,81.6
287,Rahul Kumar,21,Female,Packaging,Technician,17,51970,Morning,98.9
288,Suresh Singh,22,Male,Production,Operator,14,19028,Night,81.0
289,Ravi Patel,24,Female,Production,Technician,16,40552,Night,88.6
290,Ravi Kumar,56,Male,Assembly,Helper,13,25295,Night,97.7
291,Suresh Sharma,57,Male,Assembly,Operator,16,34675,Morning,80.5
292,Ravi Kumar,24,Male,Production,Technician,3,53919,Evening,87.6
293,Rahul Sharma,21,Female,Packaging,Helper,24,43209,Evening,94.1
294,Rahul Kumar,53,Female,Assembly,Operator,7,32304,Night,83.1
295,Ravi Reddy,51,Female,Assembly,Technician,14,51149,Morning,79.2
296,Deepa Patel,36,Female,Maintenance,Helper,9,36473,Night,96.3
297,Asif Reddy,49,Female,Packaging,Technician,19,43579,Morning,85.5
298,Suresh Patel,49,Female,Assembly,Helper,8,46138,Evening,90.4
299,Asif Kumar,54,Female,Production,Operator,8,38599,Evening,97.9
300,Suresh Reddy,55,Male,Packaging,Helper,4,42213,Morning,81.4
301,Asif Reddy,36,Male,Maintenance,Operator,19,51073,Morning,97.3
302,Kiran Reddy,22,Male,Maintenance,Operator,16,49907,Evening,75.2
303,Ravi Singh,47,Female,Production,Operator,2,26094,Night,86.9
304,Kiran Reddy,34,Female,Maintenance,Technician,7,47573,Night,96.5
305,Amit Kumar,37,Male,Production,Operator,12,24384,Night,88.6
306,Amit Patel,46,Male,Packaging,Operator,6,42288,Morning,98.4
307,Anita Patel,37,Male,Packaging,Operator,13,47169,Morning,78.9
308,Sunil Patel,52,Female,Packaging,Technician,1,29993,Night,92.2
309,Sunil Kumar,44,Male,Assembly,Technician,5,26036,Night,92.0
310,Rahul Reddy,37,Female,Maintenance,Helper,18,35371,Evening,99.0
311,Asif Singh,54,Male,Maintenance,Helper,21,31206,Morning,93.9
312,Sunil Kumar,30,Female,Production,Technician,1,40554,Night,96.4
313,Deepa Reddy,47,Female,Packaging,Helper,24,26232,Evening,99.6
314,Priya Patel,31,Female,Maintenance,Technician,3,59634,Evening,84.5
315,Amit Kumar,42,Female,Assembly,Technician,21,40183,Night,78.0
316,Kiran Reddy,30,Female,Packaging,Technician,24,33894,Morning,84.6
317,Deepa Patel,43,Male,Packaging,Helper,16,39919,Evening,77.0
318,Asif Reddy,24,Male,Packaging,Technician,23,38244,Morning,88.9
319,Amit Kumar,34,Male,Maintenance,Operator,12,58773,Night,77.4
320,Kiran Reddy,28,Female,Maintenance,Technician,25,30005,Morning,92.6
321,,22,Male,,Technician,7,,Night,90.1
322,Deepa Reddy,21,Male,Production,Technician,6,57932,Night,93.1
323,Ravi Reddy,33,Male,Assembly,Technician,5,24454,Evening,77.8
324,Priya Kumar,43,Female,Maintenance,Helper,8,47513,Morning,82.1
325,Anita Singh,37,Male,Maintenance,Operator,17,57164,Evening,91.7
326,Priya Patel,42,Female,Assembly,Technician,25,59421,Evening,89.6
327,Sunil Patel,53,Male,Maintenance,Helper,7,41554,Night,95.7
328,Amit Kumar,39,Male,Packaging,Operator,16,18429,Evening,79.9
329,Amit Sharma,50,Female,Assembly,Technician,12,48816,Morning,81.3
330,Anita Kumar,29,Female,Assembly,Technician,3,31532,Night,90.9
331,Deepa Reddy,29,Male,Maintenance,Technician,11,55366,Night,92.6
332,Asif Reddy,36,Male,Packaging,Technician,16,21214,Night,94.8
333,Suresh Sharma,37,Female,Assembly,Operator,4,53399,Night,97.3
334,Priya Kumar,25,Male,Maintenance,Operator,16,21298,Morning,88.8
335,Rahul Singh,52,Male,Maintenance,Operator,21,37116,Morning,79.7
336,Anita Singh,30,Male,Packaging,Technician,23,47903,Night,80.8
337,Asif Sharma,20,Female,Production,Technician,1,51847,Morning,99.1
338,Rahul Kumar,50,Male,Packaging,Helper,21,41031,Morning,99.5
339,Priya Kumar,56,Female,Production,Technician,1,46229,Morning,98.5
340,Suresh Reddy,22,Female,Assembly,Technician,12,36426,Evening,90.9
341,Rahul Singh,56,Male,Packaging,Operator,15,23788,Morning,80.0
342,Amit Kumar,32,Female,Maintenance,Operator,25,50095,Morning,78.8
343,Sunil Singh,36,Male,Production,Operator,10,35849,Evening,94.4
344,Amit Kumar,39,Female,Production,Operator,23,41015,Night,94.6
345,Sunil Sharma,55,Male,Packaging,Operator,24,22326,Night,86.8
346,Suresh Singh,55,Male,Packaging,Technician,25,22487,Morning,79.8
347,Ravi Patel,23,Female,Assembly,Operator,11,52946,Morning,91.5
348,Deepa Reddy,26,Female,Assembly,Technician,16,59051,Evening,89.6
349,Rahul Kumar,57,Female,Maintenance,Helper,22,46840,Night,89.1
350,Ravi Reddy,57,Female,Assembly,Operator,1,21800,Morning,79.0
351,Sunil Kumar,39,Male,Packaging,Technician,3,37188,Night,92.7
352,Rahul Kumar,25,Female,Packaging,Operator,10,26567,Evening,95.1
353,Amit Reddy,27,Female,Assembly,Operator,3,33077,Evening,83.1
354,Amit Reddy,57,Female,Assembly,Operator,13,27342,Morning,77.8
355,Asif Patel,48,Male,Packaging,Helper,14,25510,Morning,91.3
356,Suresh Singh,44,Male,Production,Operator,25,30506,Night,82.8
357,Asif Kumar,51,Male,Production,Helper,19,54534,Evening,81.2
358,Kiran Singh,41,Male,Packaging,Operator,22,33983,Evening,83.6
359,Anita Reddy,22,Male,Production,Helper,13,32769,Evening,84.2
360,Sunil Reddy,50,Male,Maintenance,Operator,23,43472,Morning,93.0
361,Rahul Patel,44,Male,Production,Operator,19,32902,Evening,80.4
362,Amit Patel,39,Male,Assembly,Operator,7,24275,Evening,99.6
363,Priya Kumar,30,Female,Maintenance,Helper,1,59695,Night,94.5
364,Deepa Singh,42,Male,Maintenance,Operator,4,18532,Morning,76.9
365,Suresh Sharma,32,Male,Assembly,Operator,16,46618,Morning,87.0
366,Asif Reddy,32,Male,Maintenance,Helper,7,39307,Morning,99.6
367,Anita Sharma,49,Male,Production,Operator,24,33369,Evening,80.4
368,Sunil Patel,55,Male,Assembly,Operator,19,30279,Evening,83.3
369,Suresh Reddy,30,Female,Production,Operator,7,25631,Evening,87.7
370,Kiran Kumar,58,Male,Packaging,Operator,5,28081,Night,88.7
371,Ravi Reddy,54,Male,Packaging,Operator,10,45272,Night,89.9
372,Priya Reddy,28,Female,Assembly,Helper,8,48650,Morning,87.2
373,Amit Kumar,22,Female,Packaging,Technician,8,49645,Night,79.6
374,Suresh Singh,20,Male,Assembly,Operator,18,31196,Evening,75.1
375,Deepa Sharma,28,Female,Maintenance,Operator,15,51399,Evening,97.5
376,Priya Sharma,39,Female,Packaging,Technician,4,49801,Night,78.1
377,Priya Sharma,44,Female,Packaging,Helper,4,31219,Morning,92.9
378,Anita Singh,43,Male,Production,Operator,10,34765,Night,97.3
379,Ravi Singh,23,Male,Assembly,Technician,18,44171,Evening,88.3
380,Suresh Singh,21,Male,Maintenance,Helper,8,40301,Night,89.3
381,Priya Kumar,25,Male,Packaging,Operator,18,56878,Morning,98.9
